OfficialCode,ProgramId,ProgramName
P17E,746,M.Tech. Aerospace Engineering
P17F,553,M.Tech. VLSI Design
P17J,453,M.Tech. Power Systems
P17N,450,M.Tech. Structural Engineering
P17Q,465,M.Tech. Food Technology
P17R,477,M.Tech. Construction Management
P17X,545,M.Tech. Machine Learning and Artificial intelligence
P192-NE,982,Integrated B.Tech. (Computer Science and Engineering) - MBA
P1D2,330,Ph.D. (Computer Science and Engineering) [Full Time Mode]
P1D2-T,329,Ph.D. (Computer Science and Engineering) [Part Time Mode]
P1D4,346,Ph.D. (Computer Applications) [Full Time Mode]
P1D4-T,347,Ph.D. (Computer Applications) [Part Time Mode]
P1D5,263,Ph.D. (Electronics and Communication Engineering) [Full Time Mode]
P1D5-T,262,Ph.D. (Electronics and Communication Engineering) [Part Time Mode]
P1D6,394,Ph.D. (Electrical Engineering) [Full Time Mode]
P1D6-T,393,Ph.D. (Electrical Engineering) [Part Time Mode]
P1D7,413,Ph.D. (Civil Engineering)[Full Time Mode]
P1D7-T,415,Ph.D. (Civil Engineering) [Part Time Mode]
P1D8,268,Ph.D. (Mechanical Engineering) [Full Time Mode]
P1D8-T,269,Ph.D. (Mechanical Engineering) [Part Time Mode]
P1DAL,1130,Ph.D. (Nanotechnology) [Full Time]
P1DC,492,Ph.D. (Chemical Engineering) [Full Time Mode]
P1DC-T,494,Ph.D. (Chemical Engineering) [Part Time Mode]
P1DE,509,Ph.D. (Aerospace Engineering) [Full Time Mode]
P1DE-T,510,Ph.D. (Aerospace Engineering) [Part Time Mode]
P1DV,512,Ph.D. (Geospatial Information Science and Technology) [Full Time Mode]
P1DV-T,511,Ph.D. (Geospatial Information Science and Technology)[Part Time Mode]
P220,54,B.Sc. Biotechnology
P223,50,B.Sc. Microbiology
P224,55,B.Sc. Food Technology
P22A-NN5,787,B.Sc. Zoology
P22A-NN6,791,B.Sc. Chemistry
P22A-NN7,789,B.Sc. Physics
P22A-NN8,793,B.Sc. Mathematics
P22A-NN9,919,B.Sc. Computer Science - Cyber Security <i> in tie up with</i><b>Comptia</b>
P22G,382,B.Sc. Forensic Sciences
P240-HN3,928,B.Sc. Hons./Hons. with Research (Biotechnology)
P243-HN3,927,B.Sc. Hons./Hons. with Research (Microbiology)
P244-HN3,926,B.Sc. Hons./Hons. with Research (Food Technology)
P245-HN1,976,Bachelor of Nutrition and Dietetics (Honours)
P24A-HNB,929,B.Sc. Hons./Hons. with Research (Zoology)
P24A-HNC,925,B.Sc.Hons./Hons. with Research (Physics)
P24A-HND,923,B.Sc. Hons./Hons. with Research (Chemistry)
