Programme Name,Programme Code,Matched Bucket,Dates
Pharm. D (Doctor of Pharmacy),P5K0-NNKA,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
Bachelor of Physiotherapy (B.PT),P542-NNCA,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
Bachelor of Medical Laboratory Science,P541-NNJ,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Anaesthesia and Operation Theatre Technology,P541-NNK,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Optometry,P541-NND,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Cardiovascular Technology,P541-NNH,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Medical Radiology and Imaging Technology,P541-NNE,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Clinical Embryology),P548,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Electronics and Comm. Engg. (ECE) [Lateral Entry],P105-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Computer Sc. and Engg. (CSE) [Lateral Entry],P102-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) AI and ML [Lateral Entry],P102-LNP,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Mechanical Engg. (ME) [Lateral Entry],P108-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Civil Engg. (CE) [Lateral Entry],P107-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Tech. (Electronics and Communication Engineering) [Lateral Entry],P135-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Computer Science and Engineering) [Lateral Entry],P132-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (CSE - AI and ML) [Lateral Entry],P132-LNP,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Information Technology) [Lateral Entry],P133-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Mechanical Engineering) [Lateral Entry],P138-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (ME - Mechatronics) [Lateral Entry],P138-LN1,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Civil Engineering) [Lateral Entry],P137-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Construction Technology) [Lateral Entry] [To be offered to only L & T diploma holders),P137-LN1,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Electrical Engineering) [Lateral Entry],P136-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Electrical and Electronics Engineering) [Lateral Entry],P13A-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Robotics and Automation) [Lateral Entry],P13AF-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Biotechnology) [Lateral Entry],P131-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Food Technology) [Lateral Entry],P13Q-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Automobile Engineering) [Lateral Entry],P139-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Aerospace Engineering) [Lateral Entry],P13E-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Chemical Engineering) [Lateral Entry],P13C-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Biomedical Engineering) [Lateral Entry],P13O-L,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
BCA [Lateral Entry],P124-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Information Technology) [Lateral Entry],P123-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BBA [Lateral Entry],P321-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Com. [Lateral Entry],P322-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hotel and Hospitality Management) [Lateral Entry],P324-LN8,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Hotel Mgt and Catering Technology (BHMCT) [Lateral Entry],P344-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
"B.Sc. (Airlines, Tourism and Hospitality) [Lateral Entry]",P325-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Interior and Furniture Design) [Lateral Entry],P722-LNJ,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Design (Interior and Furniture) [Lateral Entry],P742-LN1,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Design (Product and Industrial) [Lateral Entry],P742-LN2,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Design (UI/UX) [Lateral Entry],P742-LNM,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Fashion Design) [Lateral Entry],P722-LNF,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Design (Fashion) [Lateral Entry],P742-LN3,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Pharm. [Lateral Entry],P540-LNN-D,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
Bachelor of Physiotherapy (BPT) [Lateral Entry],P542-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Medical Laboratory Technology) [Lateral Entry],P521-L,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Optometry) [Lateral Entry],P521-LN5,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Anaesthesia and Operation Theatre Technology) [Lateral Entry],P521-LN6,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Medical Radiology and Imaging Technology) [Lateral Entry],P521-LNC,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Cardiovascular Technology) [Lateral Entry],P521-LN7,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
MBA,P371-NNAF,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA [ 1+1 with international credit transfer option],P371-YNAF,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA (International Business),P370-NN2F,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA (Hospital and Healthcare Management),P370-NN3F,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA (Digital and Social Media Marketing),P370-NNAF,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA (Business Analytics),P370-NNBF,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA (Supply Chain and Logistics),P370-NN7F,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA (Financial Markets),P370-NN6F,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA (Data Science and Artificial Intelligence),P370-NNAB,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
MBA (Fintech and Artificial Intelligence),P370-NNZ,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
M.Com.,P362,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.Sc. (Economics),P363,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.A. (Economics),P363-NN-1,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
LL.B.,P4AE,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
LL.M.,P4BE-NN1,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
"MBA (Tourism, Aviation and Hospitality)",P375-NN3,Type B (MBA),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination"": ""4th August onwards"", ""Last date to upload Video Essay"": ""Exam date + 1 day\nFor Example : If candidate has appeared for exam on 13th August, then last date to upload Video essay is 14th August."", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
M.Sc. (Interior and Furniture Design),P762-NNJ,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.Design (Interior and Furniture),P772-NN1,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.Sc. (UI/UX Design),P762-NNM,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.Sc. (Fashion Design),P762-NNF,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Master of Fashion Management (MFM),P762-NNP,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.Sc. (Animation and VFX Design),P762-NNL,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Master of Fine Arts (MFA),P471,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.A. (Journalism and Mass Communication),P764,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.Sc. (Film and TV Production),P767,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Master of Performing Arts (MPA),P472,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.A. (History),P466,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.A. (Psychology),P46A,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
M.A. (Applied Psychology),P46C,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Master in Clinical Psychology (M.Clin. Psy),P46G-NN2A,Type B (BTECH_INTERVIEW),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Slot booking for Interview"": ""Candidate can opt. for any preferred interview slot within 2-7 days after the declaration of LPUNEST result subject to last date 19th August. For Example: If result is declared on 10th August 2026, Interview can be scheduled on any day between 12th  to 17th August 2026."", ""Dates of Interview"": """", ""Result for Interview"": ""Within 24 working hours"", ""Last Date of Admission"": ""20th August 2026""}"
M.A. (Counselling Psychology),P46A-NN5,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
