official_code,base_saarc,base_zone1,base_zone2,saarc_A,saarc_B,saarc_C,zone1_A,zone1_B,zone1_C,zone2_A,zone2_B,zone2_C
P370-NNAF,220000.0,3000.0,4500.0,88000.0,110000.0,132000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P370-NNBF,270000.0,3500.0,5000.0,108000.0,135000.0,162000.0,1400.0,1750.0,2100.0,2000.0,2500.0,3000.0
P370-NN7F,270000.0,3500.0,5000.0,108000.0,135000.0,162000.0,1400.0,1750.0,2100.0,2000.0,2500.0,3000.0
P370-NN6F,270000.0,3500.0,5000.0,108000.0,135000.0,162000.0,1400.0,1750.0,2100.0,2000.0,2500.0,3000.0
P370-NNAB,270000.0,3500.0,5000.0,108000.0,135000.0,162000.0,1400.0,1750.0,2100.0,2000.0,2500.0,3000.0
P370-NNZ,270000.0,3500.0,5000.0,108000.0,135000.0,162000.0,1400.0,1750.0,2100.0,2000.0,2500.0,3000.0
P362,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P363,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P363-NN-1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P4AE,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P4BE-NN1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P375-NN3,140000.0,3000.0,4500.0,56000.0,70000.0,84000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P762-NNJ,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P772-NN1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P762-NNM,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P762-NNF,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P762-NNP,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P762-NNL,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P471,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P764,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P767,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P472,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P466,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P46A,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P46C,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P46G-NN2A,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P46A-NN5,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P46A-NN2,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P467,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P46K,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P468,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P46I-NN1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P469-NN1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P463,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P4AB,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P4BB,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P465,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P464,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P6A1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P661,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P6A2,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P6B2,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P172,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P172-YNQ,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P17X,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P17AC,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P17AD,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P17E,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P17N,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P17R,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P17F,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P175-NNA,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P17J,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P17Q,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P171,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P171-Y,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P164-NN1,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P164-HN8,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P164-HN7,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P164-HN9,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P163,80000.0,2000.0,3500.0,32000.0,40000.0,48000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P16AJ,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P26B-NN1,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26B-NN2,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26B-NN3,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26B-NN5,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26B-NN6,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26E,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26C,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26F-NN1,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P264,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P265-NN1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P260-H,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P263-H,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26G,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26G-NN1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P262-H,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P2L2,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P268-H,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P266-H,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P269,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P269-NN-1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P26J,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P570-NN1-D,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P570-NN2-D,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P570-NNB-D,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P570-NN3-D,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P570-NND-D,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P580-NNLA,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P572-NNDA,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P572-NNEA,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P572-NNFA,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P561-NNM,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P568,220000.0,3000.0,4500.0,88000.0,110000.0,132000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
