official_code,base_saarc,base_zone1,base_zone2,saarc_A,saarc_B,saarc_C,zone1_A,zone1_B,zone1_C,zone2_A,zone2_B,zone2_C
P131-Y,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P131-NN4,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P13Q,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P13O,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P139,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P139-Y,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P13C,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P124,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P124-NN9,120000.0,2000.0,3500.0,48000.0,60000.0,72000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P124-NN8,120000.0,2000.0,3500.0,48000.0,60000.0,72000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P124-NN7,120000.0,2000.0,3500.0,48000.0,60000.0,72000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P124-NNA,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P124-NNC,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P22A-NN9,120000.0,2000.0,3500.0,48000.0,60000.0,72000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P123,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P123-Y,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P24B-H,120000.0,1500.0,3000.0,48000.0,60000.0,72000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P244-HN3,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P224,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P245-HN1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P240-HN3,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P220,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P243-HN3,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
