official_code,eligibility_base,base_fee,phase1_A,phase1_B,phase1_C,phase1_D,phase2_A,phase2_B,phase2_C,phase2_D,phase3_A,phase3_B,phase3_C,phase3_D,phase4_A,phase4_B,phase4_C,phase4_D,phase5_A,phase5_B,phase5_C,phase5_D
P661,After Graduation,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P6A2,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P6B2,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P172,After Graduation,100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,50000.0,60000.0,70000.0,44999.99999999999,55000.00000000001,65000.0,75000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0
P172-YNQ,After Graduation,100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,50000.0,60000.0,70000.0,44999.99999999999,55000.00000000001,65000.0,75000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0
P17X,After Graduation,100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,50000.0,60000.0,70000.0,44999.99999999999,55000.00000000001,65000.0,75000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0
P17AC,After Graduation,100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,50000.0,60000.0,70000.0,44999.99999999999,55000.00000000001,65000.0,75000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0
P17AD,After Graduation,100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,50000.0,60000.0,70000.0,44999.99999999999,55000.00000000001,65000.0,75000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0
P17E,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P17N,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P17R,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P17F,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P175-NNA,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P17J,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P17Q,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P171,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P171-Y,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P164-NN1,After Graduation,100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
P164-HN8,After Graduation,120000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0
P164-HN7,After Graduation,120000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0
P164-HN9,After Graduation,120000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0
P163,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
P16AJ,After Graduation,120000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0
P26B-NN1,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P26B-NN2,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P26B-NN3,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P26B-NN5,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P26B-NN6,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P26E,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P26C,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P26F-NN1,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P264,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P265-NN1,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P260-H,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P263-H,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P26G,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P26G-NN1,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P262-H,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P2L2,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P268-H,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P266-H,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P269,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P269-NN-1,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P26J,After Graduation,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P570-NN1-D,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P570-NN2-D,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P570-NNB-D,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P570-NN3-D,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P570-NND-D,After Graduation,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P580-NNLA,After Graduation,160000.0,104000.0,112000.0,120000.0,128000.0,104000.0,112000.0,120000.0,128000.0,104000.0,112000.0,120000.0,128000.0,104000.0,112000.0,120000.0,128000.0,104000.0,112000.0,120000.0,128000.0
P572-NNDA,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P572-NNEA,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P572-NNFA,After Graduation,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P561-NNM,After Graduation,80000.0,40000.0,48000.0,56000.0,64000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0,48000.0,56000.0,64000.0,72000.0,52000.0,60000.0,68000.0,72000.0
P568,After Graduation,220000.0,88000.0,110000.0,132000.0,154000.0,88000.0,110000.0,132000.0,154000.0,98999.99999999999,121000.00000000001,143000.0,165000.0,110000.0,132000.0,154000.0,176000.0,121000.0,143000.0,165000.0,187000.0
