official_code,eligibility_base,base_fee,phase1_A,phase1_B,phase1_C,phase1_D,phase2_A,phase2_B,phase2_C,phase2_D,phase3_A,phase3_B,phase3_C,phase3_D,phase4_A,phase4_B,phase4_C,phase4_D,phase5_A,phase5_B,phase5_C,phase5_D
P124-L,Lateral Entry,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
P123-L,Lateral Entry,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
P321-L,Lateral Entry,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
P322-L,Lateral Entry,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P324-LN8,Lateral Entry,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P344-L,Lateral Entry,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P325-L,Lateral Entry,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
P722-LNJ,Lateral Entry,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
P742-LN1,Lateral Entry,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
P742-LN2,Lateral Entry,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
P742-LNM,Lateral Entry,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
P722-LNF,Lateral Entry,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
P742-LN3,Lateral Entry,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,70000.0,84000.0,98000.0,62999.99999999999,77000.0,91000.0,105000.0,70000.0,84000.0,98000.0,112000.0,77000.0,91000.0,105000.0,119000.0
