official_code,program_id,program_name,mode
P5D4-T,431,Ph.D. (Clinical Microbiology) [Part Time Mode],Part Time
P5D5-T,432,Ph.D. (Clinical Biochemistry) [Part Time Mode],Part Time
P5D5,433,Ph.D. (Clinical Biochemistry) [Full Time Mode],Full Time
P4DB,460,Ph.D. (Library Science) [Full Time Mode],Full Time
P4DB-T,461,Ph.D. (Library Science) [Part Time Mode],Part Time
P3D5-NN1,473,Ph.D. (Tourism Management) [Full Time Mode],Full Time
P3D5-TN1,474,Ph.D. (Tourism Management) [Part Time Mode],Part Time
P1DC,492,Ph.D. (Chemical Engineering) [Full Time Mode],Full Time
P2DS,493,Ph.D. (Molecular Biology and Genetic Engineering) [Full Time Mode],Full Time
P1DC-T,494,Ph.D. (Chemical Engineering) [Part Time Mode],Part Time
P2DS-T,495,Ph.D. (Molecular Biology and Genetic Engineering) [Part Time Mode],Part Time
P4DF,507,Ph.D. (Public Administration) [Full Time Mode],Full Time
P4DF-T,508,Ph.D. (Public Administration) [Part Time Mode],Part Time
P1DE,509,Ph.D. (Aerospace Engineering) [Full Time Mode],Full Time
P1DE-T,510,Ph.D. (Aerospace Engineering) [Part Time Mode],Part Time
P1DV-T,511,Ph.D. (Geospatial Information Science and Technology)[Part Time Mode],Part Time
P1DV,512,Ph.D. (Geospatial Information Science and Technology) [Full Time Mode],Full Time
P7D1,527,Ph.D. (Architecture) [Full Time Mode],Full Time
P2DG,529,Ph.D. (Forensic Sciences) [Full Time Mode],Full Time
P2DG-T,530,Ph.D. (Forensic Sciences) [Part Time Mode],Part Time
P7D1-T,531,Ph.D. (Architecture) [Part Time Mode],Part Time
P4D2-NN1,533,Ph.D. (Performing Arts-Music) [Full Time Mode],Full Time
P4D2-TN1,534,Ph.D. (Performing Arts-Music) [Part Time Mode],Part Time
P4D2-NNA,535,Ph.D. (Performing Arts-Theatre) [Full Time Mode],Full Time
P4D2-TNA,536,Ph.D. (Performing Arts-Theatre) [Part Time Mode],Part Time
P2DE-NN1,548,Ph.D. (Vegetable Science) [Full Time Mode],Full Time
P2DB-NN8,549,Ph.D. (Soil Science) [Full Time Mode],Full Time
P5D0-NND,731,Ph.D. (Pharmacy Practice) [Full Time Mode],Full Time
P5D0-TND,732,Ph.D. (Pharmacy Practice) [Part Time Mode],Part Time
P5D0-NNB,742,Ph.D. (Pharmaceutical Analysis) [Full Time Mode],Full Time
P5D0-TNB,743,Ph.D. (Pharmaceutical Analysis) [Part Time Mode],Part Time
P2D4-TN1,763,Ph.D. (Food Science and Technology) [Part Time Mode],Part Time
P7D2-NN3,807,Ph.D. (Fashion) [Full Time Mode],Full Time
P7D2-TN3,808,Ph.D. (Fashion) [Part Time Mode],Part Time
P7D2-NN1,809,Ph.D. (Interior and Furniture Design) [Full Time Mode],Full Time
P7D2-TN1,810,Ph.D. (Interior and Furniture Design) [Part Time Mode],Part Time
P7D2-NN2,811,Ph.D. (Product and Industrial Design) [Full Time Mode],Full Time
P7D2-TN2,812,Ph.D. (Product and Industrial Design) [Part Time Mode],Part Time
P7D2-NN9,813,Ph.D. (User Experience) [Full Time Mode],Full Time
P7D2-TN9,814,Ph.D. (User Experience) [Part Time Mode],Part Time
P7D2-NN6,816,Ph.D. (Film and TV Production) [Full Time Mode],Full Time
P7D2-TN6,817,Ph.D. (Film and TV Production) [Part Time Mode],Part Time
P2DK,824,Ph.D. (Statistics) [Full Time Mode],Full Time
P4DK,825,Ph.D. (Social Work) [Full Time Mode],Full Time
P2DK-T,880,Ph.D. (Statistics)[Part Time Mode],Part Time
P4DK-T,881,Ph.D. (Social Work) [Part Time],Part Time
P5D8,892,Ph.D. (Clinical Embryology) [Full Time Mode],Full Time
P1DAL,1130,Ph.D. (Nanotechnology) [Full Time],Full Time
